Video Game Title,Genre,Console,Publishers(s),Developer(s),Units Sold,Total Sales,NA Sales,PAL Sales,JP Sales,Other Sales,Release Date
Ore no Yome: Anata Dake no Hanayome,Adventure,X360,Idea Factory,Lupinus,N/A,0.02m,N/A,N/A,0.02m,N/A,28th Oct 10
Tale of a Hero,Adventure,PC,Daedalic,Future Games,N/A,0.02m,N/A,0.02m,N/A,0.00m,31st Aug 10
Final Approach 2: 1st Priority,Adventure,PS2,Princess Soft,Princess Soft,N/A,0.02m,N/A,N/A,0.02m,N/A,28th Feb 08
Back to the Future: The Game,Adventure,X360,Telltale Games,Telltale Games,N/A,0.02m,0.02m,0.00m,N/A,0.00m,13th Oct 15
Moujuutsukai to Oujisama: Snow Bride,Adventure,PS2,Idea Factory,Idea Factory,N/A,0.02m,N/A,N/A,0.02m,N/A,24th Feb 11
Meitantei Evangelion,Adventure,PS2,Broccoli,Headlock,N/A,0.02m,N/A,N/A,0.02m,N/A,18th Jan 07
Tsuyo Kiss 2 Portable,Adventure,PSP,Unknown,NetRevo,N/A,0.02m,N/A,N/A,0.02m,N/A,28th Oct 10
Overlord,Adventure,PC,Codemasters,Triumph Studios,N/A,0.02m,N/A,0.02m,N/A,0.00m,26th Jun 07
Brain Dead 13,Adventure,PS,ReadySoft,ReadySoft,N/A,0.02m,0.01m,0.01m,N/A,0.00m,06th Mar 96
Mata Hari: Betrayal is only a Kiss Away,Adventure,PC,Viva Media,Cranberry Production,N/A,0.02m,N/A,0.02m,N/A,0.00m,01st Jun 09
Negima!? Chou Mahora Taisen Chuu: Checkiin Zenin Shuugou! Yappari Onsen Kichaimashitaa,Adventure,DS,Marvelous Interactive,Marvelous Interactive,N/A,0.02m,N/A,N/A,0.02m,N/A,22nd Mar 07
Nisenochigiri,Adventure,PSP,Idea Factory,Idea Factory,N/A,0.02m,N/A,N/A,0.02m,N/A,26th Aug 10
Last Escort,Adventure,PS2,D3 Publisher,Vingt-et-un Systems,N/A,0.02m,N/A,N/A,0.02m,N/A,26th Jan 06
Root Infinity Rexx,Adventure,PSV,Idea Factory,Idea Factory,N/A,0.02m,N/A,N/A,0.02m,N/A,22nd Jan 15
Aria: The Natural ~Tooi Yume no Mirage~,Adventure,PS2,Alchemist,Regista,N/A,0.02m,N/A,N/A,0.02m,N/A,28th Sep 06
Gakuen K: Wonderful School Days,Adventure,PSP,Idea Factory,Idea Factory,N/A,0.02m,N/A,N/A,0.02m,N/A,30th Oct 14
Hakuouki: Yuugi Roku DS,Adventure,DS,Idea Factory,Idea Factory,N/A,0.02m,N/A,N/A,0.02m,N/A,28th Apr 11
So Blonde,Adventure,PC,Eidos Interactive,WizarBox,N/A,0.02m,N/A,0.02m,N/A,0.00m,10th Oct 08
Code R,Adventure,SAT,Quintet,Quintet,N/A,0.02m,N/A,N/A,0.02m,N/A,09th Jul 98
Jake Hunter: Detective Chronicles,Adventure,DS,Aksys Games,WorkJam,N/A,0.02m,0.02m,N/A,N/A,0.00m,11th Jun 08
Uta no Prince-sama: Amazing Aria & Sweet Serenade Love,Adventure,PSV,Broccoli,Broccoli,N/A,0.02m,N/A,N/A,0.02m,N/A,19th Oct 17
Jinguuji Saburou DS: Akai Chou,Adventure,DS,Arc System Works,WorkJam,N/A,0.02m,N/A,N/A,0.02m,N/A,30th Sep 10
Meitantei Conan: Kieta Hakase to Machigai Sagashi no Tou,Adventure,DS,Namco Bandai,Bandai Namco Games,N/A,0.02m,N/A,N/A,0.02m,N/A,03rd Apr 08
Kimi o Aogi Otome wa Hime ni,Adventure,PSV,Entergram,Unknown,N/A,0.02m,N/A,N/A,0.02m,N/A,29th Sep 16
Largo Winch .// Commando Sar,Adventure,PS,Ubisoft,Rebellion Developments,N/A,0.02m,0.01m,0.01m,N/A,0.00m,01st Feb 02
Joker no Kuni no Alice,Adventure,PSP,Quinrose,QuinRose,N/A,0.02m,N/A,N/A,0.02m,N/A,27th Oct 11
Princess Isabella: A Witch's Curse,Adventure,Wii,Destineer,Gogii Games,N/A,0.02m,0.02m,N/A,N/A,0.00m,03rd Sep 10
Kamigami no Asobi InFinite,Adventure,PSV,Broccoli,Unknown,N/A,0.02m,N/A,N/A,0.02m,N/A,21st Apr 16
Runaway: A Twist of Fate,Adventure,DS,Unknown,Pendulo Studios,N/A,0.02m,N/A,0.02m,N/A,0.00m,N/A
Harukanaru Toki no Naka de 6,Adventure,PSP,Tecmo Koei,Ruby Party,N/A,0.02m,N/A,N/A,0.02m,N/A,12th Mar 15
Clandestiny,Adventure,PC,Trilobyte,Trilobyte,0.02m,N/A,N/A,N/A,N/A,N/A,15th Oct 96
Uta no * Prince-Sama,Adventure,PSP,Broccoli,Broccoli,N/A,0.02m,N/A,N/A,0.02m,N/A,24th Jun 10
Hakuoki: Yuugi Roku - Taishitachi no Daienkai,Adventure,PSV,Idea Factory,Unknown,N/A,0.02m,N/A,N/A,0.02m,N/A,17th Nov 16
Crime Scene,Adventure,DS,SouthPeak Interactive,White Birds Productions,N/A,0.02m,N/A,0.02m,N/A,0.00m,16th Feb 10
