Video Game Title,Genre,Console,Publishers(s),Developer(s),Units Sold,Total Sales,NA Sales,PAL Sales,JP Sales,Other Sales,Release Date
Toren,Adventure,PC,Versus Evil,Swordtales,N/A,N/A,N/A,N/A,N/A,N/A,12th May 15
Toriko,Adventure,PC,Digerati,D.O.,N/A,N/A,N/A,N/A,N/A,N/A,11th Oct 96
Toriko 2,Adventure,PC,Digerati,D.O.,N/A,N/A,N/A,N/A,N/A,N/A,14th Nov 97
Toriko 2 Toriko,Adventure,PC,Digerati,D.O.,N/A,N/A,N/A,N/A,N/A,N/A,28th Jan 00
Toriko Hime,Adventure,PC,Unknown,Guilty,N/A,N/A,N/A,N/A,N/A,N/A,22nd Sep 06
Toriko no Hime,Adventure,PC,Unknown,Atelier Kaguya,N/A,N/A,N/A,N/A,N/A,N/A,29th Jun 07
Torin's Passage,Adventure,PC,Sierra Entertainment,Sierra Entertainment,N/A,N/A,N/A,N/A,N/A,N/A,01st Jan 95
Toro to Kyuujitsu,Adventure,PS2,Sony Computer Entertainment,SCEI,N/A,N/A,N/A,N/A,N/A,N/A,29th Nov 01
Total Miner: Forge,Adventure,XBL,Microsoft,Greenstone Games,N/A,N/A,N/A,N/A,N/A,N/A,24th Jun 11
Totsugeki Tenshi Kanon,Adventure,PC,RaSeN,RaSeN,N/A,N/A,N/A,N/A,N/A,N/A,16th Jul 04
Touhai Densetsu Akagi DS: Yami ni Maifurita Tensai,Adventure,DS,Culture Brain,Culture Brain,N/A,N/A,N/A,N/A,N/A,N/A,09th Aug 07
Touhai Densetsu Akagi: Yami ni Maifurita Tensai,Adventure,GBA,Culture Brain,Culture Brain,N/A,N/A,N/A,N/A,N/A,N/A,03rd Mar 06
Towa no Sakura,Adventure,PS2,Idea Factory,Vingt-et-un Systems,N/A,N/A,N/A,N/A,N/A,N/A,27th Sep 07
ToyPop (Arcade),Adventure,VC,Namco Bandai,Namco,N/A,N/A,N/A,N/A,N/A,N/A,24th Nov 09
Traitors Gate,Adventure,PC,DreamCatcher Interactive,Daydream Software,N/A,N/A,N/A,N/A,N/A,N/A,30th Apr 00
Traitors Gate 2,Adventure,PC,The Adventure Company,258 Productions AB,N/A,N/A,N/A,N/A,N/A,N/A,02nd Nov 03
Transylvania III: Vanquish the Night,Adventure,PC,Merit Studios,Polarware,N/A,N/A,N/A,N/A,N/A,N/A,01st Jan 90
Trauma,Adventure,PC,Unknown,Krystian Majewski,N/A,N/A,N/A,N/A,N/A,N/A,08th Aug 11
Treasure Island,Adventure,PC,HMH Interactive,Radon Labs,N/A,N/A,N/A,N/A,N/A,N/A,06th Jun 08
Treasure Seekers: Follow the Ghosts,Adventure,PC,Unknown,Artogon Games,N/A,N/A,N/A,N/A,N/A,N/A,N/A
Treasure Strike,Adventure,DC,KID,Sega,N/A,N/A,N/A,N/A,N/A,N/A,17th Feb 00
Trick x Logic: Season 1,Adventure,PSN,Sony Computer Entertainment,ChunSoft,N/A,N/A,N/A,N/A,N/A,N/A,22nd Jul 10
Trilby's Notes,Adventure,PC,Fully Ramblomatic,Fully Ramblomatic,N/A,N/A,N/A,N/A,N/A,N/A,26th Jun 06
Troll & Armor,Adventure,PS3,Unknown,Emerging Ent.,N/A,N/A,N/A,N/A,N/A,N/A,N/A
Trouble Witches!!,Adventure,PC,Unknown,Studio Siesta,N/A,N/A,N/A,N/A,N/A,N/A,11th May 01
True Tears,Adventure,PS2,Sweets,La'cryma,N/A,N/A,N/A,N/A,N/A,N/A,07th Aug 08
Tsugi no Giseisha o Oshirase Shimasu: Kimi to Ko no Hateru Kotonai Kurayami o,Adventure,PSP,Unknown,Boost On,N/A,N/A,N/A,N/A,N/A,N/A,06th Oct 11
Tsugi no Giseisha o Oshirase Shimasu: Shi to Zetsubou o Nori Koeru,Adventure,PSP,Unknown,Boost On,N/A,N/A,N/A,N/A,N/A,N/A,08th Dec 11
Tsugou no Yoi Sex Friend?,Adventure,PC,Waffle,Waffle,N/A,N/A,N/A,N/A,N/A,N/A,28th Oct 11
Tsuki wa Higashi ni Ha wa Nishi na: Operation Sanctuary,Adventure,PS2,Alchemist,Alchemist,N/A,N/A,N/A,N/A,N/A,N/A,07th Oct 04
Tsuki wa Higashi ni Ha wa Nishi na: Operation Sanctuary,Adventure,DC,Alchemist,Alchemist,N/A,N/A,N/A,N/A,N/A,N/A,24th Jun 04
Tsuki wa Higashi ni Ha wa Nishi na: Operation Sanctuary,Adventure,PC,Alchemist,Alchemist,N/A,N/A,N/A,N/A,N/A,N/A,26th Sep 03
Tsukihime,Adventure,PC,Type-Moon,Type-Moon,N/A,N/A,N/A,N/A,N/A,N/A,01st Dec 00
Tsuyo Kiss 2 Portable,Adventure,PSN,Unknown,NetRevo,N/A,N/A,N/A,N/A,N/A,N/A,28th Oct 10
TURN: The Lost Artifact,Adventure,DSiW,Unknown,Creative Patterns,N/A,N/A,N/A,N/A,N/A,N/A,09th Aug 10
Twilight Syndrome Omen: Tansakuhen,Adventure,PS,Human Entertainment,Human Club,N/A,N/A,N/A,N/A,N/A,N/A,01st Mar 96
Twilight Syndrome Saikai,Adventure,PS,Spike,Spike,N/A,N/A,N/A,N/A,N/A,N/A,27th Jul 00
Twilight Syndrome Special,Adventure,PS,Human Entertainment,Human Club,N/A,N/A,N/A,N/A,N/A,N/A,02nd Jul 98
Twilight Syndrome: Kyuumeihen,Adventure,PS,Human Entertainment,Human Entertainment,N/A,N/A,N/A,N/A,N/A,N/A,19th Jul 96
Twinsen's Odyssey,Adventure,PC,Activision,Adeline Software,N/A,N/A,N/A,N/A,N/A,N/A,30th Jun 97
Twisted Lands: Shadow Town,Adventure,PC,Alawar Entertainment,"Alawar Entertainment, Inc.",N/A,N/A,N/A,N/A,N/A,N/A,23rd Sep 10
Typing Renai Hakusho: Boys Be...,Adventure,PS2,Sunsoft,SunSoft,N/A,N/A,N/A,N/A,N/A,N/A,14th Mar 02
U.B. Funkeys,Adventure,PC,Unknown,Radica,N/A,N/A,N/A,N/A,N/A,N/A,N/A
Uchuu no Stellvia,Adventure,PS2,Bandai,Bandai,N/A,N/A,N/A,N/A,N/A,N/A,22nd Jan 04
Ugetsu Kitan,Adventure,PS,Tonkin House,Unknown,N/A,N/A,N/A,N/A,N/A,N/A,05th Jul 96
Umineko no Naku Koro ni,Adventure,PC,Unknown,07th Expansion,N/A,N/A,N/A,N/A,N/A,N/A,17th Aug 07
Umineko no Naku Koro ni Chiru,Adventure,PC,Unknown,07th Expansion,N/A,N/A,N/A,N/A,N/A,N/A,15th Aug 09
Umisho,Adventure,PS2,5pb,Kaga Create,N/A,N/A,N/A,N/A,N/A,N/A,22nd Nov 07
Undead Knights,Adventure,PSN,Tecmo Koei,Team Tachyon,N/A,N/A,N/A,N/A,N/A,N/A,21st Oct 09
Undercover AD2025 Kei,Adventure,DC,Pulse Entertainment,Pulse Interactive,N/A,N/A,N/A,N/A,N/A,N/A,27th Jan 00
Undercover: Operation Wintersun,Adventure,PC,Lighthouse Interactive,Sproing Interactive Media GMBH,N/A,N/A,N/A,N/A,N/A,N/A,28th Aug 07
Uninvited,Adventure,NES,Kemco,"ICOM Simulations, Inc.",N/A,N/A,N/A,N/A,N/A,N/A,01st Jun 91
Universal Monsters: Monsterville,Adventure,PC,DreamCatcher Interactive,OG,N/A,N/A,N/A,N/A,N/A,N/A,15th Mar 02
Universal Nuts,Adventure,PS,Lay-Up,Unknown,N/A,N/A,N/A,N/A,N/A,N/A,05th Feb 98
Uplink: Hacker Elite,Adventure,PC,Strategy First,Introversion Software,N/A,N/A,N/A,N/A,N/A,N/A,09th Oct 01
Uragiri wa Boku no Namae o Shitteiru,Adventure,PS2,Kadokawa Shoten,Kadokawa Shoten,N/A,N/A,N/A,N/A,N/A,N/A,28th Oct 10
Urakyoushi,Adventure,PC,Unknown,Bishop,N/A,N/A,N/A,N/A,N/A,N/A,05th Aug 11
Urban Runner,Adventure,PC,Sierra Entertainment,Coktel Vision,N/A,N/A,N/A,N/A,N/A,N/A,01st Jan 96
Urusei Yatsura: Endless Summer,Adventure,DS,Marvelous Interactive,Marvelous Interactive,N/A,N/A,N/A,N/A,N/A,N/A,20th Oct 05
Urusei Yatsura: My Dear Friends,Adventure,SCD,Game Arts,Game Arts,N/A,N/A,N/A,N/A,N/A,N/A,15th Apr 94
Urusei Yatsura: Stay With You,Adventure,PCE,Hudson Soft,Hudson Soft,N/A,N/A,N/A,N/A,N/A,N/A,29th Jun 90
Uta no * Prince-Sama: Amazing Aria,Adventure,PSP,Broccoli,Broccoli,N/A,N/A,N/A,N/A,N/A,N/A,23rd Dec 10
Utau * Tumbling Dice,Adventure,PS2,Reindeer,Reindeer,N/A,N/A,N/A,N/A,N/A,N/A,26th Aug 04
Utau * Tumbling Dice,Adventure,DC,Ecole,Reindeer,N/A,N/A,N/A,N/A,N/A,N/A,24th Jun 04
Uwasa no Midori-Kun!! Natsuiro Striker,Adventure,DS,Idea Factory,Idea Factory,N/A,N/A,N/A,N/A,N/A,N/A,20th Sep 07
Uzumaki,Adventure,WS,Omega Micott,Omega Micott,N/A,N/A,N/A,N/A,N/A,N/A,03rd Feb 00
V.G. Rebirth,Adventure,PC,Giga,Giga,N/A,N/A,N/A,N/A,N/A,N/A,28th Sep 01
V.G. Rebirth Dash,Adventure,PC,Giga,Giga,N/A,N/A,N/A,N/A,N/A,N/A,21st Mar 02
Valiant Hearts: The Great War,Adventure,XOne,Ubisoft,Ubisoft Montpellier,N/A,N/A,N/A,N/A,N/A,N/A,25th Jun 14
Valis X: Cham - Aratanaru Senyuu,Adventure,PC,Unknown,Eants,N/A,N/A,N/A,N/A,N/A,N/A,16th Jun 06
Valis X: Full Set Pack,Adventure,PC,Unknown,Eants,N/A,N/A,N/A,N/A,N/A,N/A,08th Sep 06
Valis X: Masako - Mou Hitotsu to Sadame,Adventure,PC,Unknown,Eants,N/A,N/A,N/A,N/A,N/A,N/A,08th Sep 06
Valis X: Meijimura Meyo! Valis no Senshi Tachi,Adventure,PC,Unknown,Eants,N/A,N/A,N/A,N/A,N/A,N/A,08th Sep 06
Valis X: Reiko - Shoudarake no Senshi,Adventure,PC,Unknown,Eants,N/A,N/A,N/A,N/A,N/A,N/A,21st Apr 06
Valis X: Valna - Haha to Musume no Kunou,Adventure,PC,Unknown,Eants,N/A,N/A,N/A,N/A,N/A,N/A,19th May 06
Valkyrie Romanze,Adventure,PC,Unknown,Ricotta,N/A,N/A,N/A,N/A,N/A,N/A,28th Oct 11
Vanquish,Adventure,PC,Forst,Forst,N/A,N/A,N/A,N/A,N/A,N/A,22nd Oct 04
Velvet Echo,Adventure,PC,Angel Smile,Angel Smile,N/A,N/A,N/A,N/A,N/A,N/A,14th Sep 01
Vigil: Blood Bitterness,Adventure,PC,Meridian4,Freegamer,N/A,N/A,N/A,N/A,N/A,N/A,29th Jun 07
Virtual Puppet Reika,Adventure,3DO,Unknown,Kuki,N/A,N/A,N/A,N/A,N/A,N/A,07th Oct 94
Virtual Valerie 2,Adventure,PC,Unknown,Arcus,N/A,N/A,N/A,N/A,N/A,N/A,N/A
Voyage: Inspired by Jules Verne,Adventure,PC,The Adventure Company,Kheops Studio,N/A,N/A,N/A,N/A,N/A,N/A,18th Aug 05
W. L. O. Sekai Renai Kikou,Adventure,PC,Akabee Soft 2,Akabee Soft 2,N/A,N/A,N/A,N/A,N/A,N/A,26th Mar 09
W. L. O. Sekai Renai Kikou LLS: Love Love Show,Adventure,PC,Akabee Soft 2,Akabee Soft 2,N/A,N/A,N/A,N/A,N/A,N/A,24th Sep 09
Wagamama * Fairy: Mirumo de Pon! DokiDoki Memorial Panic,Adventure,GBA,Konami,Jupiter Multimedia,N/A,N/A,N/A,N/A,N/A,N/A,08th Sep 05
Wagamama * Fairy: Mirumo de Pon! Hachinin no Toki no Yousei,Adventure,GBA,Konami,Jupiter Multimedia,N/A,N/A,N/A,N/A,N/A,N/A,11th Dec 03
Wagamama * Fairy: Mirumo de Pon! Mirumo no Mahou Gakkou Monogatari,Adventure,PS,Konami,Jupiter Corporation,N/A,N/A,N/A,N/A,N/A,N/A,20th Mar 03
Wagamama * Fairy: Mirumo de Pon! Nazo no Kagi to Shinjitsu no Tobira,Adventure,GBA,Konami,Jupiter Multimedia,N/A,N/A,N/A,N/A,N/A,N/A,16th Dec 04
Wagamama * Fairy: Mirumo de Pon! Ougon Maracas no Densetsu,Adventure,GBA,Konami,Jupiter Multimedia,N/A,N/A,N/A,N/A,N/A,N/A,19th Dec 02
Wagamama * Fairy: Mirumo de Pon! Yume no Kakera,Adventure,GBA,Konami,Jupiter Multimedia,N/A,N/A,N/A,N/A,N/A,N/A,15th Jul 04
Wallace & Gromit's Grand Adventures Episode 1: Fright of the Bumblebees,Adventure,PC,Telltale Games,Telltale Games,N/A,N/A,N/A,N/A,N/A,N/A,24th Mar 09
Wallace & Gromit's Grand Adventures Episode 1: Fright of the Bumblebees,Adventure,XBL,Telltale Games,Telltale Games,N/A,N/A,N/A,N/A,N/A,N/A,27th May 09
Wallace & Gromit's Grand Adventures Episode 2: The Last Resort,Adventure,XBL,Telltale Games,Telltale Games,N/A,N/A,N/A,N/A,N/A,N/A,04th Nov 09
Wallace & Gromit's Grand Adventures Episode 2: The Last Resort,Adventure,PC,Telltale Games,Telltale Games,N/A,N/A,N/A,N/A,N/A,N/A,06th May 09
Wallace & Gromit's Grand Adventures Episode 3: Muzzled!,Adventure,XBL,Telltale Games,Telltale Games,N/A,N/A,N/A,N/A,N/A,N/A,04th Nov 09
Wallace & Gromit's Grand Adventures Episode 3: Muzzled!,Adventure,PC,Telltale Games,Telltale Games,N/A,N/A,N/A,N/A,N/A,N/A,16th Jun 09
Wallace & Gromit's Grand Adventures Episode 4: The Bogey Man,Adventure,XBL,Telltale Games,Telltale Games,N/A,N/A,N/A,N/A,N/A,N/A,04th Nov 09
Wallace & Gromit's Grand Adventures Episode 4: The Bogey Man,Adventure,PC,Telltale Games,Telltale Games,N/A,N/A,N/A,N/A,N/A,N/A,29th Jul 09
Walt Disney Pictures Presents: Dinosaur,Adventure,GB,Ubisoft,Digital Eclipse,N/A,N/A,N/A,N/A,N/A,N/A,19th May 00
Wan Wan Meitantei,Adventure,GBA,Culture Brain,Culture Brain,N/A,N/A,N/A,N/A,N/A,N/A,19th Dec 03
Wand of Fortune Twin Pack,Adventure,PS2,Idea Factory,Idea Factory,N/A,N/A,N/A,N/A,N/A,N/A,25th Feb 10
Wangan Dream,Adventure,PC,Dreams,Dreams,N/A,N/A,N/A,N/A,N/A,N/A,06th Aug 99
Wangan Trial Love,Adventure,SAT,Victor Interactive,Victor Interactive Software,N/A,N/A,N/A,N/A,N/A,N/A,02nd Apr 98
Wanko de Kururin! Wankuru,Adventure,GBA,MTO,MTO,N/A,N/A,N/A,N/A,N/A,N/A,25th Jun 04
Wanko Mix,Adventure,GBA,TDK Core,TDK Core,N/A,N/A,N/A,N/A,N/A,N/A,16th Dec 04
Wanted: A Wild Western Adventure,Adventure,PC,The Adventure Company,Revistonic,N/A,N/A,N/A,N/A,N/A,N/A,03rd Oct 04
Warriors of Might and Magic,Adventure,GB,3DO,Climax Group,N/A,N/A,N/A,N/A,N/A,N/A,22nd Dec 00
Water Closet: The Forbidden Chamber,Adventure,PC,Peach Princess,Will,N/A,N/A,N/A,N/A,N/A,N/A,01st Jul 01
Waurau Salesman,Adventure,SCD,Sega,Sega,N/A,N/A,N/A,N/A,N/A,N/A,17th Sep 93
Wayne's World,Adventure,PC,Capstone Software,Capstone Software,N/A,N/A,N/A,N/A,N/A,N/A,01st Jan 93
Wayward Manor,Adventure,OSX,"Moonshark, Inc.","Moonshark, Inc.",N/A,N/A,N/A,N/A,N/A,N/A,15th Jul 14
Wayward Manor,Adventure,PC,"Moonshark, Inc.","Moonshark, Inc.",N/A,N/A,N/A,N/A,N/A,N/A,15th Jul 14
We Love JUGGLER,Adventure,PSP,Kita Denshi,Kita Denshi,N/A,N/A,N/A,N/A,N/A,N/A,18th Mar 10
Web Mystery: Yochi Yume o Kenru Neko,Adventure,DC,Mebius,Mebius,N/A,N/A,N/A,N/A,N/A,N/A,22nd Apr 99
What Makes You Tick: A Stitch in Time,Adventure,PC,Unknown,Lassie Games,N/A,N/A,N/A,N/A,N/A,N/A,09th Sep 10
What Remains of Edith Finch,Adventure,PS4,Unknown,Giant Sparrow,N/A,N/A,N/A,N/A,N/A,N/A,25th Apr 17
What's Shenmue,Adventure,DC,Sega,Sega-AM2,N/A,N/A,N/A,N/A,N/A,N/A,05th Aug 99
Where in the World is Carmen Sandiego?,Adventure,GEN,Electronic Arts,EA Canada,N/A,N/A,N/A,N/A,N/A,N/A,01st Jan 92
Where in the World is Carmen Sandiego?,Adventure,PCE,Pack-In-Video,Office Koukan,N/A,N/A,N/A,N/A,N/A,N/A,30th Mar 90
Where in the World is Carmen Sandiego?,Adventure,SNES,Hi Tech Expressions,EA Canada,N/A,N/A,N/A,N/A,N/A,N/A,01st Jun 93
Where in the World is Carmen Sandiego?,Adventure,MS,Parker Bros.,Parker Bros.,N/A,N/A,N/A,N/A,N/A,N/A,01st Jan 89
Where in the World is Carmen Sandiego? Mystery at the End of the World,Adventure,DS,Mindscape,Strass Productions,N/A,N/A,N/A,N/A,N/A,N/A,18th Feb 09
Where's Waldo? The Fantastic Journey,Adventure,PC,Ubisoft,Classic Media Distribution Limited,N/A,N/A,N/A,N/A,N/A,N/A,22nd Sep 09
Where's Waldo? The Fantastic Journey Travel Pack 1,Adventure,DSiW,Ludia,Classic Media Distribution Limited,N/A,N/A,N/A,N/A,N/A,N/A,27th Aug 10
Where's Waldo? The Fantastic Journey Travel Pack 1,Adventure,WW,Ludia,Classic Media Distribution Limited,N/A,N/A,N/A,N/A,N/A,N/A,25th Mar 11
Where's Waldo? The Fantastic Journey Travel Pack 2,Adventure,WW,Ludia,Classic Media Distribution Limited,N/A,N/A,N/A,N/A,N/A,N/A,15th Apr 11
Where's Waldo? The Fantastic Journey Travel Pack 2,Adventure,DSiW,Ludia,Classic Media Distribution Limited,N/A,N/A,N/A,N/A,N/A,N/A,03rd Sep 10
Where's Waldo? The Fantastic Journey Travel Pack 3,Adventure,WW,Ludia,Classic Media Distribution Limited,N/A,N/A,N/A,N/A,N/A,N/A,06th May 11
Where's Waldo? The Fantastic Journey Travel Pack 3,Adventure,DSiW,Ludia,Classic Media Distribution Limited,N/A,N/A,N/A,N/A,N/A,N/A,10th Sep 10
White Album,Adventure,PC,Leaf,Leaf,N/A,N/A,N/A,N/A,N/A,N/A,01st May 98
White Breath,Adventure,PC,F&C,F&C,N/A,N/A,N/A,N/A,N/A,N/A,23rd Jul 04
White Breath: Kizuna,Adventure,PS2,KID,KID Corporation,N/A,N/A,N/A,N/A,N/A,N/A,22nd Nov 06
White Breath: Perfect Edition,Adventure,PSP,GN Software,GN Software,N/A,N/A,N/A,N/A,N/A,N/A,02nd Sep 10
White Breath: Perfect Edition+,Adventure,PC,F&C,F&C,N/A,N/A,N/A,N/A,N/A,N/A,28th Apr 11
White Heaven,Adventure,PC,Unknown,JEWEL MASTER,N/A,N/A,N/A,N/A,N/A,N/A,12th Aug 11
White Night,Adventure,PC,Rebellion Developments / Saffire,Rebellion Developments / Saffire,N/A,N/A,N/A,N/A,N/A,N/A,01st Jan 15
White Night,Adventure,OSX,Rebellion Developments / Saffire,Rebellion Developments / Saffire,N/A,N/A,N/A,N/A,N/A,N/A,01st Jan 15
White Princess the Second,Adventure,PS2,KID,KID Corporation,N/A,N/A,N/A,N/A,N/A,N/A,25th Aug 05
Wide de Portable P,Adventure,PSP,Unknown,Gametech,N/A,N/A,N/A,N/A,N/A,N/A,N/A
WiLD,Adventure,PS4,Sony Interactive Entertainment,Wild Sheep Studio,N/A,N/A,N/A,N/A,N/A,N/A,31st Dec 20
Will O' Wisp,Adventure,PS2,Idea Factory,Idea Factory,N/A,N/A,N/A,N/A,N/A,N/A,06th Sep 07
Wind: a Breath of Heart,Adventure,DC,Alchemist,Alchemist,N/A,N/A,N/A,N/A,N/A,N/A,30th Jan 03
Wind: a Breath of Heart,Adventure,PS2,Alchemist,Alchemist,N/A,N/A,N/A,N/A,N/A,N/A,18th Dec 03
Wind: a Breath of Heart,Adventure,PC,Minor I,Minor I,N/A,N/A,N/A,N/A,N/A,N/A,19th Apr 02
Wind: a breath of heart - Re-gratitude,Adventure,PC,Minor I,Minor I,N/A,N/A,N/A,N/A,N/A,N/A,05th Nov 04
Winx Club: Believix in You!,Adventure,DS,Namco Bandai,Rainbow S.p.A.,N/A,N/A,N/A,N/A,N/A,N/A,20th Nov 09
Wirehead,Adventure,SCD,Sega,The Code Monkeys,N/A,N/A,N/A,N/A,N/A,N/A,01st Jan 95
Witches & Vampires: Ghost Pirates of Ashburry,Adventure,DS,DTP Entertainment,City Interactive,N/A,N/A,N/A,N/A,N/A,N/A,29th Apr 10
With You: Mitsumeteitai,Adventure,SAT,NEC Interchannel,Stack,N/A,N/A,N/A,N/A,N/A,N/A,29th Jul 99
With You: Mitsumeteitai,Adventure,WS,Cocktail Soft,Cocktail Soft,N/A,N/A,N/A,N/A,N/A,N/A,25th Jan 01
With You: Mitsumeteitai,Adventure,PC,Cocktail Soft,Cocktail Soft,N/A,N/A,N/A,N/A,N/A,N/A,11th Sep 98
Wizardology,Adventure,PC,Unknown,Double Six,N/A,N/A,N/A,N/A,N/A,N/A,01st Jan 70
Wizardology,Adventure,Wii,Unknown,Double Six,N/A,N/A,N/A,N/A,N/A,N/A,31st Dec 20
Wizardology,Adventure,DS,Unknown,Double Six,N/A,N/A,N/A,N/A,N/A,N/A,31st Dec 20
Wizardry Nemesis,Adventure,SAT,Shouei,Thunder Stone Japan,N/A,N/A,N/A,N/A,N/A,N/A,22nd Jan 98
Women's Murder Club: A Darker Shade of Grey,Adventure,PC,Elephant Entertainment,Oberon Media,N/A,N/A,N/A,N/A,N/A,N/A,16th Mar 09
Wonder Boy III: The Dragon's Trap,Adventure,VC,Sega,Westone Bit Entertainment,N/A,N/A,N/A,N/A,N/A,N/A,09th Nov 09
Wonder Boy III: The Dragon's Trap,Adventure,MS,Sega,Westone Bit Entertainment,N/A,N/A,N/A,N/A,N/A,N/A,01st Jan 89
Wonder Boy in Monster Land,Adventure,MS,Sega,Westone Bit Entertainment,N/A,N/A,N/A,N/A,N/A,N/A,01st Jan 88
Wonder Boy in Monster Land,Adventure,VC,Sega,Westone Bit Entertainment,N/A,N/A,N/A,N/A,N/A,N/A,26th Jan 09
Wonder Boy: The Dragon's Trap,Adventure,GG,Sega,Westone Bit Entertainment,N/A,N/A,N/A,N/A,N/A,N/A,01st Jan 92
Woodruff and The Schnibble of Azimuth,Adventure,PC,Sierra Entertainment,Sierra On-Line,N/A,N/A,N/A,N/A,N/A,N/A,01st Jan 94
Woolfe: The Red Hood Diaries,Adventure,XOne,GriN Multimedia,GriN Multimedia,N/A,N/A,N/A,N/A,N/A,N/A,31st Dec 20
Woolfe: The Red Hood Diaries,Adventure,PS4,GriN Multimedia,GriN Multimedia,N/A,N/A,N/A,N/A,N/A,N/A,31st Dec 20
Woolfe: The Red Hood Diaries,Adventure,PC,GriN Multimedia,GriN Multimedia,N/A,N/A,N/A,N/A,N/A,N/A,17th Mar 15
WORLD END ECONOMiCA,Adventure,PC,Sekai Project,Spicy Tails,N/A,N/A,N/A,N/A,N/A,N/A,05th May 14
WORLD END ECONOMiCA,Adventure,OSX,Sekai Project,Spicy Tails,N/A,N/A,N/A,N/A,N/A,N/A,05th May 14
WORLD END ECONOMiCA,Adventure,Linux,Sekai Project,Spicy Tails,N/A,N/A,N/A,N/A,N/A,N/A,05th May 14
World Wide Love! Sekai Seifuku Kanojo Fan Disc,Adventure,PC,Navel,Navel,N/A,N/A,N/A,N/A,N/A,N/A,28th Oct 11
Worldly,Adventure,WinP,Unknown,Unknown,N/A,N/A,N/A,N/A,N/A,N/A,15th Jul 14
Wyv and Keep: The Temple of the Lost Idol,Adventure,PC,Unknown,Unknown,N/A,N/A,N/A,N/A,N/A,N/A,08th Aug 14
X-Change,Adventure,PC,Peach Princess,Crowd,N/A,N/A,N/A,N/A,N/A,N/A,09th Mar 01
X-Change 2,Adventure,PC,Peach Princess,Crowd,N/A,N/A,N/A,N/A,N/A,N/A,03rd Jun 03
X-Change 2 R,Adventure,PC,Crowd,Crowd,N/A,N/A,N/A,N/A,N/A,N/A,15th Oct 04
X-Change 3,Adventure,PC,Peach Princess,Crowd,N/A,N/A,N/A,N/A,N/A,N/A,18th Jul 06
X-Change Alternative 2: Kimi no Hitomi ni Utsurukimi,Adventure,PC,Crowd,Crowd,N/A,N/A,N/A,N/A,N/A,N/A,26th Sep 08
X-Change Box! 2,Adventure,PC,Crowd,Crowd,N/A,N/A,N/A,N/A,N/A,N/A,21st Oct 05
X-Change R,Adventure,PC,Crowd,Crowd,N/A,N/A,N/A,N/A,N/A,N/A,01st Oct 04
Y: The Case of John Yesterday,Adventure,PC,Unknown,Pendulo Studios,N/A,N/A,N/A,N/A,N/A,N/A,N/A
Yakouchuu,Adventure,SNES,Athena,Athena,N/A,N/A,N/A,N/A,N/A,N/A,16th Jun 95
Yakouchuu GB,Adventure,GB,Athena,Athena,N/A,N/A,N/A,N/A,N/A,N/A,22nd Oct 99
Yakouchuu II: Satsujin Kouru,Adventure,N64,Athena,Athena,N/A,N/A,N/A,N/A,N/A,N/A,22nd Oct 99
Yaku: Yuujou Dangi,Adventure,PS,Idea Factory,Idea Factory,N/A,N/A,N/A,N/A,N/A,N/A,13th Jan 96
Yamamura Misa Suspense: Kyoto Kurama Sansou Satsujin Jiken,Adventure,3DO,Pack-In-Video,Tikipod,N/A,N/A,N/A,N/A,N/A,N/A,20th Mar 94
Yamato Nadeshiko o Sagase,Adventure,PC,Unknown,Chiffon,N/A,N/A,N/A,N/A,N/A,N/A,23rd Nov 00
Yamiyo ni Sasayaku: Meitantei Kyouichirou Sagara,Adventure,PS2,Idea Factory,Idea Factory,N/A,N/A,N/A,N/A,N/A,N/A,09th Feb 06
Yarisugi Itazura! Swimming School,Adventure,PC,Unknown,Rocket18 Icecream,N/A,N/A,N/A,N/A,N/A,N/A,12th Aug 11
Yarudora Portable: Blood The Last Vampire,Adventure,PSP,Sony Computer Entertainment,SCEI,N/A,N/A,N/A,N/A,N/A,N/A,26th Jan 06
Yarudora Portable: Double Cast,Adventure,PSP,Sony Computer Entertainment,SCE,N/A,N/A,N/A,N/A,N/A,N/A,28th Jul 05
Yarudora Portable: Kisetsu o Dakishimete,Adventure,PSP,Sony Computer Entertainment,SCEI,N/A,N/A,N/A,N/A,N/A,N/A,28th Jul 05
Yarudora Portable: Sampaguita,Adventure,PSP,Sony Computer Entertainment,SCEI,N/A,N/A,N/A,N/A,N/A,N/A,28th Jul 05
Yarudora Portable: Yukiwari no Hana,Adventure,PSP,Sony Computer Entertainment,SCEI,N/A,N/A,N/A,N/A,N/A,N/A,28th Jul 05
Yarudora Series Vol.3: Sampaguita,Adventure,PS,Sony Computer Entertainment,Sugar & Rockets,N/A,N/A,N/A,N/A,N/A,N/A,15th Oct 98
Yarudora Series Vol.4: Yukiwari no Hana,Adventure,PS,Sony Computer Entertainment,Sugar & Rockets,N/A,N/A,N/A,N/A,N/A,N/A,26th Nov 98
Yellow Brick Road,Adventure,PS,Acclaim Entertainment,Acclaim,N/A,N/A,N/A,N/A,N/A,N/A,30th Aug 96
Yin-Yang! Another X-Change,Adventure,PC,Peach Princess,Crowd,N/A,N/A,N/A,N/A,N/A,N/A,15th Dec 06
Yo-Jin-Bo: Unmei no Freude,Adventure,PS2,TwoFive,TwoFive,N/A,N/A,N/A,N/A,N/A,N/A,26th Oct 06
